Feature,Type
rsfmri_cor_ngd_smh_scs_thplh,Rest
rsfmri_cor_ngd_smh_scs_thprh,Rest
rsfmri_cor_ngd_smh_scs_vtdclh,Rest
rsfmri_cor_ngd_smh_scs_vtdcrh,Rest
rsfmri_cor_ngd_smm_scs_aalh,Rest
rsfmri_cor_ngd_smm_scs_aarh,Rest
rsfmri_cor_ngd_smm_scs_aglh,Rest
rsfmri_cor_ngd_smm_scs_agrh,Rest
rsfmri_cor_ngd_smm_scs_bs,Rest
rsfmri_cor_ngd_smm_scs_cdelh,Rest
rsfmri_cor_ngd_smm_scs_cderh,Rest
rsfmri_cor_ngd_smm_scs_crcxlh,Rest
rsfmri_cor_ngd_smm_scs_crcxrh,Rest
rsfmri_cor_ngd_smm_scs_hplh,Rest
rsfmri_cor_ngd_smm_scs_hprh,Rest
rsfmri_cor_ngd_smm_scs_pllh,Rest
rsfmri_cor_ngd_smm_scs_plrh,Rest
rsfmri_cor_ngd_smm_scs_ptlh,Rest
rsfmri_cor_ngd_smm_scs_ptrh,Rest
rsfmri_cor_ngd_smm_scs_thplh,Rest
rsfmri_cor_ngd_smm_scs_thprh,Rest
rsfmri_cor_ngd_smm_scs_vtdclh,Rest
rsfmri_cor_ngd_smm_scs_vtdcrh,Rest
rsfmri_cor_ngd_vs_scs_aalh,Rest
rsfmri_cor_ngd_vs_scs_aarh,Rest
rsfmri_cor_ngd_vs_scs_aglh,Rest
rsfmri_cor_ngd_vs_scs_agrh,Rest
rsfmri_cor_ngd_vs_scs_bs,Rest
rsfmri_cor_ngd_vs_scs_cdelh,Rest
rsfmri_cor_ngd_vs_scs_cderh,Rest
rsfmri_cor_ngd_vs_scs_crcxlh,Rest
rsfmri_cor_ngd_vs_scs_crcxrh,Rest
rsfmri_cor_ngd_vs_scs_hplh,Rest
rsfmri_cor_ngd_vs_scs_hprh,Rest
rsfmri_cor_ngd_vs_scs_pllh,Rest
rsfmri_cor_ngd_vs_scs_plrh,Rest
rsfmri_cor_ngd_vs_scs_ptlh,Rest
rsfmri_cor_ngd_vs_scs_ptrh,Rest
rsfmri_cor_ngd_vs_scs_thplh,Rest
rsfmri_cor_ngd_vs_scs_thprh,Rest
rsfmri_cor_ngd_vs_scs_vtdclh,Rest
rsfmri_cor_ngd_vs_scs_vtdcrh,Rest
rsfmri_cor_ngd_vta_scs_aalh,Rest
rsfmri_cor_ngd_vta_scs_aarh,Rest
rsfmri_cor_ngd_vta_scs_aglh,Rest
rsfmri_cor_ngd_vta_scs_agrh,Rest
rsfmri_cor_ngd_vta_scs_bs,Rest
rsfmri_cor_ngd_vta_scs_cdelh,Rest
rsfmri_cor_ngd_vta_scs_cderh,Rest
rsfmri_cor_ngd_vta_scs_crcxlh,Rest
rsfmri_cor_ngd_vta_scs_crcxrh,Rest
rsfmri_cor_ngd_vta_scs_hplh,Rest
rsfmri_cor_ngd_vta_scs_hprh,Rest
rsfmri_cor_ngd_vta_scs_pllh,Rest
rsfmri_cor_ngd_vta_scs_plrh,Rest
rsfmri_cor_ngd_vta_scs_ptlh,Rest
rsfmri_cor_ngd_vta_scs_ptrh,Rest
rsfmri_cor_ngd_vta_scs_thplh,Rest
rsfmri_cor_ngd_vta_scs_thprh,Rest
rsfmri_cor_ngd_vta_scs_vtdclh,Rest
rsfmri_cor_ngd_vta_scs_vtdcrh,Rest
smri_thick_cdk_banksstslh,Thickness
smri_thick_cdk_banksstsrh,Thickness
smri_thick_cdk_cdacatelh,Thickness
smri_thick_cdk_cdacaterh,Thickness
smri_thick_cdk_cdmdfrlh,Thickness
smri_thick_cdk_cdmdfrrh,Thickness
smri_thick_cdk_cuneuslh,Thickness
smri_thick_cdk_cuneusrh,Thickness
smri_thick_cdk_ehinallh,Thickness
smri_thick_cdk_ehinalrh,Thickness
smri_thick_cdk_frpolelh,Thickness
smri_thick_cdk_frpolerh,Thickness
smri_thick_cdk_fusiformlh,Thickness
smri_thick_cdk_fusiformrh,Thickness
smri_thick_cdk_ifpllh,Thickness
smri_thick_cdk_ifplrh,Thickness
smri_thick_cdk_iftmlh,Thickness
smri_thick_cdk_iftmrh,Thickness
smri_thick_cdk_ihcatelh,Thickness
smri_thick_cdk_ihcaterh,Thickness
smri_thick_cdk_insulalh,Thickness
smri_thick_cdk_insularh,Thickness
smri_thick_cdk_linguallh,Thickness
smri_thick_cdk_lingualrh,Thickness
smri_thick_cdk_lobfrlh,Thickness
smri_thick_cdk_lobfrrh,Thickness
smri_thick_cdk_locclh,Thickness
smri_thick_cdk_loccrh,Thickness
smri_thick_cdk_mdtmlh,Thickness
smri_thick_cdk_mdtmrh,Thickness
smri_thick_cdk_mobfrlh,Thickness
smri_thick_cdk_mobfrrh,Thickness
smri_thick_cdk_paracnlh,Thickness
smri_thick_cdk_paracnrh,Thickness
smri_thick_cdk_parahpallh,Thickness
smri_thick_cdk_parahpalrh,Thickness
smri_thick_cdk_parsobislh,Thickness
smri_thick_cdk_parsobisrh,Thickness
smri_thick_cdk_parsopclh,Thickness
smri_thick_cdk_parsopcrh,Thickness
smri_thick_cdk_parstgrislh,Thickness
smri_thick_cdk_parstgrisrh,Thickness
smri_thick_cdk_pclh,Thickness
smri_thick_cdk_pcrh,Thickness
smri_thick_cdk_pericclh,Thickness
smri_thick_cdk_periccrh,Thickness
smri_thick_cdk_postcnlh,Thickness
smri_thick_cdk_postcnrh,Thickness
smri_thick_cdk_precnlh,Thickness
smri_thick_cdk_precnrh,Thickness
smri_thick_cdk_ptcatelh,Thickness
smri_thick_cdk_ptcaterh,Thickness
smri_thick_cdk_rracatelh,Thickness
smri_thick_cdk_rracaterh,Thickness
smri_thick_cdk_rrmdfrlh,Thickness
smri_thick_cdk_rrmdfrrh,Thickness
smri_thick_cdk_smlh,Thickness
smri_thick_cdk_smrh,Thickness
smri_thick_cdk_sufrlh,Thickness
smri_thick_cdk_sufrrh,Thickness
smri_thick_cdk_supllh,Thickness
smri_thick_cdk_suplrh,Thickness
smri_thick_cdk_sutmlh,Thickness
smri_thick_cdk_sutmrh,Thickness
smri_thick_cdk_tmpolelh,Thickness
smri_thick_cdk_tmpolerh,Thickness
smri_thick_cdk_trvtmlh,Thickness
smri_thick_cdk_trvtmrh,Thickness
smri_vol_scs_3rdventricle,Volume
smri_vol_scs_4thventricle,Volume
smri_vol_scs_aal,Volume
smri_vol_scs_aar,Volume
smri_vol_scs_amygdalalh,Volume
smri_vol_scs_amygdalarh,Volume
smri_vol_scs_bstem,Volume
smri_vol_scs_caudatelh,Volume
smri_vol_scs_caudaterh,Volume
smri_vol_scs_crbcortexlh,Volume
smri_vol_scs_crbcortexrh,Volume
smri_vol_scs_crbwmatterrh,Volume
smri_vol_scs_hpuslh,Volume
smri_vol_scs_hpusrh,Volume
smri_vol_scs_inflatventlh,Volume
smri_vol_scs_inflatventrh,Volume
smri_vol_scs_ltventriclelh,Volume
smri_vol_scs_ltventriclerh,Volume
smri_vol_scs_pallidumlh,Volume
smri_vol_scs_pallidumrh,Volume
smri_vol_scs_putamenlh,Volume
smri_vol_scs_putamenrh,Volume
smri_vol_scs_tplh,Volume
smri_vol_scs_tprh,Volume
smri_vol_scs_vedclh,Volume
smri_vol_scs_vedcrh,Volume
